TF,Regulator,TF_events,Regulator_events,Shared_exact_events,Jaccard_similarity,Percent_of_TF_events,Percent_of_regulator_events
FKH,Cbp20,2174,1123,469,0.16584158415841585,21.57313707451702,41.76313446126447
Sox14,Elav,1330,1503,328,0.130938123752495,24.661654135338345,21.823020625415836
FKH,METTL3,2174,901,336,0.12267250821467689,15.45538178472861,37.29189789123196
Sox14,prp19,1330,1201,231,0.10043478260869565,17.36842105263158,19.23397169025812
FKH,Elav,2174,1503,323,0.09630292188431723,14.85740570377185,21.49035262807718
FKH,prp19,2174,1201,296,0.09613510880155894,13.615455381784729,24.646128226477934
FKH,Rbp9,2174,556,218,0.08678343949044585,10.027598896044159,39.20863309352518
Ubx,prp19,822,1201,159,0.08530042918454936,19.343065693430656,13.238967527060783
CLAMP,METTL3,408,901,102,0.08450704225352113,25.0,11.320754716981131
Sox14,Cbp20,1330,1123,189,0.08348056537102473,14.210526315789474,16.829919857524487
Ubx,U2af50,822,533,104,0.08313349320543566,12.652068126520682,19.51219512195122
vvl,Rbp9,670,556,90,0.07922535211267606,13.432835820895523,16.18705035971223
CLAMP,CG1316,408,353,51,0.07183098591549296,12.5,14.44759206798867
Ubx,METTL3,822,901,112,0.06952203600248293,13.62530413625304,12.430632630410654
CLAMP,mod,408,365,50,0.06915629322268327,12.254901960784315,13.698630136986301
